rank,model,family,accuracy,CI low (95%),CI high (95%),macro_f1,error_rate,fit_s,params,notes
1,Hybrid ML+DL weighted voting,Ensemble,0.952,0.9476339018610266,0.9560189636118815,0.9518921772584843,0.04800000000000004,,,"deep models + LightGBM (raw 784 px), LightGBM (Optuna-tuned), weights fitted on validation"
2,DL stacking (logistic meta),Ensemble,0.9518,0.9474257119888789,0.9558273070833776,0.9517924946587104,0.04820000000000002,,,multinomial logistic meta-learner on concatenated member probabilities
3,Hybrid ML+DL stacking,Ensemble,0.9514,0.9470093917792698,0.9554439344916833,0.9513891933652122,0.04859999999999998,,,logistic meta-learner over deep + classical members
4,ResNet-small (residual CNN),Deep Learning,0.9509,0.9495085253373826,0.9577429577413913,0.9507489040567345,0.04910000000000003,207.5379319190979,696042.0,"3 stages x 2 residual blocks, width=32, flip/shift augmentation"
5,DL weighted soft voting,Ensemble,0.9507,0.9462810200146463,0.9547728438540257,0.9505694020748029,0.04930000000000001,,,"weights fitted on the ~6,000 validation images (random Dirichlet search)"
6,DL soft voting (equal),Ensemble,0.9438,0.9391132871266424,0.9481458759195448,0.9436559498538302,0.05620000000000003,,,unweighted mean of 4 deep models
7,DL hard voting (majority),Ensemble,0.9434,,,0.9432408513062642,0.056599999999999984,,,majority vote over the same deep members - control for soft voting
8,"CNN (VGG-style, GAP)",Deep Learning,0.942,0.9366248111332505,0.9458361951051162,0.9419092649420631,0.05800000000000005,74.14552760124207,288170.0,BN + Dropout + flip/shift augmentation
9,MLP (512-256),Deep Learning,0.9107,0.8281052730333806,0.8426370640598954,0.9105080215192528,0.08930000000000005,30.70227074623108,537354.0,"BatchNorm + Dropout(0.3), no augmentation"
10,LightGBM (raw 784 px),Gradient Boosting,0.8995,0.8934527916257421,0.9052403936760872,0.8987343603760491,0.10050000000000003,622.541820526123,,control: identical model on raw pixels instead of PCA features
11,ViT-tiny (16 patches),Deep Learning,0.8897,0.8857654340520319,0.8979335112253576,0.8889770799881432,0.11029999999999995,220.19610404968262,805130.0,"patch=7, dim=128, depth=6, heads=4"
12,LightGBM (Optuna-tuned),Gradient Boosting,0.8798,0.8732800025419457,0.8860283122956883,0.8790411623065056,0.12019999999999997,47.52319622039795,,"best of 15 TPE trials, refit on 20,000 rows"
13,RBF SVM (PCA-90%),Classical ML,0.8791,0.8729732626830214,0.8857352825536348,0.8781826399902652,0.12090000000000001,5.465713739395142,,"C=10, gamma='scale', PCA to 90% variance"
14,XGBoost (PCA-80),Gradient Boosting,0.8785,0.8719508884456331,0.8847584247877647,0.8778897746108847,0.12150000000000005,10.136467695236206,,"hist trees, lr=0.15, depth=6, 600 rounds, PCA-80"
15,LightGBM (PCA-80),Gradient Boosting,0.8775,0.8709286545325814,0.8837814266975577,0.8768591526720251,0.12250000000000005,122.92317986488342,,"leaf-wise trees, 63 leaves, 800 rounds, PCA-80"
16,CatBoost (PCA-80),Gradient Boosting,0.8704,0.8636747038113881,0.8768408301956145,0.8700960144198155,0.12960000000000005,8.427007913589478,,"ordered boosting, oblivious trees, 800 iterations, PCA-80"
17,Random Forest (300 trees),Classical ML,0.8611,0.8541828398605574,0.8677398365161398,0.8590980252542335,0.13890000000000002,40.65842270851135,,"max_features='sqrt', unlimited depth"
18,Logistic Regression (GridSearchCV),Classical ML,0.8425,0.835229049126719,0.8495079119893675,0.8414181734705494,0.15749999999999997,,,"tuned C=0.01, 3-fold CV on 8,000 rows"
19,Logistic Regression,Classical ML,0.8379,0.8305471677516687,0.844993326149428,0.8377597251584646,0.16210000000000002,23.313019514083862,,"multinomial softmax, C=0.1, standardised pixels"
20,Linear SVM,Classical ML,0.8344,0.8269862568062484,0.841556925083443,0.8328052047072717,0.16559999999999997,37.19007706642151,,"hinge loss, C=0.01, one-vs-rest"
21,Uniform-random baseline,Trivial,0.1029,,,0.10289331155432899,0.8971,0.0,0.0,uniform random guess over 10 classes
22,Majority-class baseline,Trivial,0.1,,,0.01818181818181818,0.9,0.0,0.0,predicts a single class for every image
